scene,song,listener,left_haaqi,right_haaqi,avg_haaqi
S50001,anitrasdance_001,L5051,0.4827050464480108,0.48087944806387883,0.4817922472559448
S50001,anitrasdance_001,L5076,0.49967170332519006,0.4748299177374108,0.4872508105313004
S50002,anitrasdance_001,L5055,0.6190074415829412,0.5748919003243713,0.5969496709536563
S50002,anitrasdance_001,L5008,0.6145598008288904,0.6307900277517346,0.6226749142903125
S50003,anitrasdance_001,L5055,0.6049547463226664,0.5781356170548712,0.5915451816887688
S50003,anitrasdance_001,L5020,0.6024523358957478,0.5830408846906291,0.5927466102931884
S50004,anitrasdance_001,L5084,0.4556754709953703,0.4401798558018354,0.44792766339860285
S50004,anitrasdance_001,L5062,0.47494693432081125,0.4602914104511394,0.46761917238597533
S50005,anitrasdance_002,L5019,0.4907555366077379,0.4728681631327027,0.4818118498702203
S50005,anitrasdance_002,L5064,0.47686429706517386,0.47517791106935486,0.4760211040672644
S50006,anitrasdance_002,L5043,0.5390706769596313,0.5138724330774974,0.5264715550185644
S50006,anitrasdance_002,L5008,0.5467951401204513,0.5202843480262583,0.5335397440733548
S50007,anitrasdance_002,L5027,0.6196961598238988,0.6391509174290095,0.6294235386264542
S50007,anitrasdance_002,L5093,0.6148432562492565,0.610457557566052,0.6126504069076543
S50008,anitrasdance_002,L5066,0.6261018018046979,0.6697192857430023,0.6479105437738502
S50008,anitrasdance_002,L5078,0.5975557742084343,0.6515569900038849,0.6245563821061596
S50009,Calcante_ed_Achille_001,L5014,0.5781320235310368,0.6168063386853722,0.5974691811082045
S50009,Calcante_ed_Achille_001,L5065,0.5563389206470329,0.6034851123723455,0.5799120165096892
S50010,Calcante_ed_Achille_001,L5024,0.7255476530679865,0.7494518541572377,0.7374997536126121
S50010,Calcante_ed_Achille_001,L5018,0.7122433259725158,0.7523172484647221,0.7322802872186189
S50011,Calcante_ed_Achille_001,L5063,0.5107609107145568,0.5432882973603446,0.5270246040374507
S50011,Calcante_ed_Achille_001,L5093,0.5356913868887823,0.5323547167117904,0.5340230518002863
S50012,Calcante_ed_Achille_001,L5055,0.5808465869394137,0.5609029762777639,0.5708747816085888
S50012,Calcante_ed_Achille_001,L5041,0.5828172265773212,0.5591420035660924,0.5709796150717068
S50013,Marche_001,L5068,0.4624142260745314,0.4831428433757624,0.4727785347251469
S50013,Marche_001,L5011,0.4873042810445738,0.5227756228055432,0.5050399519250586
S50014,Marche_001,L5024,0.45485320954440955,0.442379266250035,0.44861623789722227
S50014,Marche_001,L5071,0.44263384513683557,0.44415550554551864,0.4433946753411771
S50015,Marche_001,L5064,0.6071980030159123,0.6039230764583005,0.6055605397371064
S50015,Marche_001,L5068,0.623362291437285,0.5988625268950866,0.6111124091661858
S50016,Marche_001,L5057,0.7033785468592557,0.6969343612010869,0.7001564540301712
S50016,Marche_001,L5062,0.7159817382038869,0.6865739998040296,0.7012778690039583
S50017,Marche_002,L5093,0.5219039096174205,0.44477962762452283,0.48334176862097167
S50017,Marche_002,L5084,0.46622538119695106,0.4584846823304694,0.46235503176371023
S50018,Marche_002,L5011,0.6207460043188795,0.642831200498256,0.6317886024085677
S50018,Marche_002,L5078,0.551609083025244,0.5777818985731515,0.5646954907991978
S50019,Marche_002,L5051,0.37379198691926074,0.379470790487177,0.3766313887032189
S50019,Marche_002,L5008,0.38280093592751135,0.3804303075849862,0.38161562175624875
S50020,Marche_002,L5011,0.6598401557738094,0.6549593586588126,0.657399757216311
S50020,Marche_002,L5020,0.6733472503170849,0.6455506260521264,0.6594489381846056
S50021,op1_1_001,L5000,0.42084928299450586,0.2147717693850474,0.3178105261897766
S50021,op1_1_001,L5066,0.42075382734444755,0.43102809941310494,0.42589096337877624
S50022,op1_1_001,L5072,0.32063936648936375,0.31765396168445487,0.3191466640869093
S50022,op1_1_001,L5047,0.3323843117703,0.3289905699885959,0.3306874408794479
S50023,op1_1_001,L5089,0.5296167528536668,0.5768152552968875,0.5532160040752772
S50023,op1_1_001,L5023,0.5752352547320232,0.6359732810535483,0.6056042678927858
S50024,op1_1_001,L5085,0.5149278510047602,0.5235318091216998,0.5192298300632301
S50024,op1_1_001,L5062,0.5374899329679159,0.5221877074572777,0.5298388202125968
S50025,op1_1_002,L5079,0.43190139876406,0.44313923343775663,0.4375203161009083
S50025,op1_1_002,L5069,0.4297642002294566,0.4319328187046785,0.43084850946706754
S50026,op1_1_002,L5084,0.47028913953130447,0.5008322659357577,0.4855607027335311
